,Sample,208Pb,,23Na,25Mg,27Al,28Si,31P,PO4,34S,35Cl,39K,43Ca,47Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,65Cu,66Zn,75As,78Se,88Sr,95Mo,107Ag,111Cd,112Sn,137Ba,238U,bottle_number,date_collected
21,40,0.5,,4642,7820,27.6,1390.0,1240.0,3.8008782692928644,21.46,9.583,992.6,28020.0,2.393,0.5,0.5,58.42,1.967,0.5,0.5,13.86,6.631,0.5,0.5,91.37,0.5,0.5,0.5,0.5,12.93,0.5,bottle3,2016-03-01
22,43,5.136,,4530,8079,30.72,1412.0,845.7,2.592260284145948,21.76,10.17,1006.0,26410.0,1.359,0.5,0.5,133.3,8.516,0.5,0.5,4.373,5.986,0.5,0.5,86.39,0.5,0.5,0.5,0.5,10.84,0.5,bottle3,2016-03-01
23,44,0.5,,4618,7791,11.1,1343.0,1216.0,3.727312883435583,21.23,9.539,985.0,27800.0,2.517,0.5,0.5,70.45,2.017,0.5,16.35,6.625,2.754,0.5,0.5,90.36,0.5,0.5,0.5,0.5,12.15,0.5,bottle3,2016-03-01
24,45,2.071,,4447,7586,17.08,1430.0,1149.0,3.52194284791734,22.81,9.709,996.8,26270.0,1.87,0.5,0.5,23.63,0.5,0.5,0.5,6.508,217.3,0.5,0.5,87.78,0.5,0.5,0.5,0.5,13.3,0.5,bottle3,2016-03-01
25,46,0.5,,4549,7883,9.221,1406.0,1055.0,3.233811753309655,22.27,10.3,1019.0,26840.0,1.871,0.5,0.5,105.3,4.499,0.5,0.5,11.35,2.357,0.5,0.5,87.3,0.5,0.5,0.5,0.5,10.95,0.5,bottle3,2016-03-01
26,47,1.513,,4461,7600,65.68,1403.0,1219.0,3.7365085566677436,22.58,9.717,1011.0,26310.0,2.2,0.5,0.5,103.5,3.208,0.5,0.5,15.53,7.75,0.5,0.5,86.79,0.5,0.5,0.5,0.5,13.11,0.5,bottle3,2016-03-01
27,48,1.643,,4807,7886,10.15,1411.0,1159.0,3.5525950920245406,21.74,10.22,1044.0,28610.0,2.242,0.5,0.5,33.55,1.037,0.5,1.48,16.93,12.41,0.5,0.5,91.34,0.5,0.5,0.5,0.5,12.18,0.5,bottle3,2016-03-01
28,51,1.123,,4634,7763,4.442,1325.0,1149.0,3.52194284791734,20.89,9.434,973.5,27280.0,2.379,0.5,0.5,343.0,3.402,0.5,0.5,4.697,37.89,0.5,0.5,90.07,0.5,0.5,0.5,0.5,11.6,0.5,bottle3,2016-03-01
29,52,0.5,,4458,7580,17.03,1409.0,1228.0,3.7640955763642236,22.5,9.695,1028.0,26290.0,2.243,0.5,0.5,26.44,1.087,0.5,0.5,2.32,3.103,0.5,0.5,87.52,0.5,7.814,0.5,0.5,12.85,0.5,bottle3,2016-03-01
30,54,0.5,,4465,7860,20.4,1466.0,1124.0,3.4453122376493384,22.28,9.705,1004.0,26300.0,1.9,0.5,0.5,32.28,0.5,0.5,0.5,20.23,11.4,0.5,0.5,86.99,0.5,0.5,0.5,0.5,12.49,0.5,bottle3,2016-03-01
